Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate
2015-04-22,651,732,8.61,,,
2015-04-23,662,714,3.78,,,
2015-04-24,488,531,5.08,,,
2015-04-25,202,211,4.27,,,
2015-04-26,245,261,5.75,,,
2015-04-27,624,685,6.13,,,
2015-04-28,525,590,4.58,,,
2015-04-29,339,393,6.36,,,
2015-04-30,376,476,6.51,,,
2015-05-01,322,369,5.42,,,
2015-05-02,132,139,5.76,,,
2015-05-03,166,173,5.78,,,
2015-05-04,376,418,8.61,,,
2015-05-05,480,563,6.22,,,
2015-05-06,389,442,8.37,,,
2015-05-07,776,884,58.26,,,
2015-05-08,680,776,54.12,,,
2015-05-09,128,155,21.94,,,
2015-05-10,129,155,14.19,,,
2015-05-11,357,432,7.87,,,
2015-05-12,341,415,7.71,,,
2015-05-13,348,399,9.02,,,
2015-05-14,524,583,4.29,,,
2015-05-15,311,344,6.4,,,
2015-05-16,130,156,6.41,,,
2015-05-17,112,132,8.33,,,
2015-05-18,300,352,6.53,,,
2015-05-19,347,419,6.68,,,
2015-05-20,334,376,3.99,,,
2015-05-21,364,442,8.14,,,
2015-05-22,237,272,6.99,,,
2015-05-23,104,126,3.97,,,
2015-05-24,100,107,10.28,,,
2015-05-25,171,186,6.45,,,
2015-05-26,419,478,5.02,,,
2015-05-27,348,401,6.98,,,
2015-05-28,485,559,17.53,,,
2015-05-29,263,298,10.4,,,
2015-05-30,104,119,8.4,,,
2015-05-31,119,129,14.73,,,
2015-06-01,334,396,10.86,,,
2015-06-02,329,405,9.63,,,
2015-06-03,325,359,12.53,,,
2015-06-04,459,528,11.93,,,
2015-06-05,498,556,7.91,,,
2015-06-06,164,226,4.42,,,
2015-06-07,143,164,4.27,,,
2015-06-08,347,408,11.52,,,
2015-06-09,334,408,11.27,,,
2015-06-10,326,388,8.25,,,
2015-06-11,316,350,10.0,,,
2015-06-12,269,293,8.53,,,
2015-06-13,85,97,8.25,,,
2015-06-14,112,123,10.57,,,
2015-06-15,302,357,7.0,,,
2015-06-16,287,335,6.27,,,
2015-06-17,277,321,8.1,,,
2015-06-18,261,292,7.88,,,
2015-06-19,271,313,5.75,,,
2015-06-20,69,83,6.02,,,
2015-06-21,116,124,26.61,,,
2015-06-22,405,453,7.95,,,
2015-06-23,298,340,7.65,,,
2015-06-24,477,531,5.84,,,
2015-06-25,428,485,7.01,,,
2015-06-26,459,507,8.48,,,
2015-06-27,242,253,4.74,,,
2015-06-28,189,206,1.94,,,
2015-06-29,440,510,7.25,,,
2015-06-30,407,466,4.72,,,
2015-07-01,407,450,6.89,,,
2015-07-02,429,474,6.33,,,
2015-07-03,284,303,2.31,,,
2015-07-04,164,170,1.18,,,
2015-07-05,195,202,3.96,,,
2015-07-06,427,476,7.35,,,
2015-07-07,358,394,4.57,,,
2015-07-08,396,440,5.68,,,
2015-07-09,375,415,7.47,,,
2015-07-10,327,358,4.19,,,
2015-07-11,186,200,6.0,,,
2015-07-12,188,201,3.98,,,
2015-07-13,384,411,6.57,,,
2015-07-14,428,482,7.88,,,
2015-07-15,398,433,5.77,,,
2015-07-16,327,354,6.21,,,
2015-07-17,318,340,4.71,,,
2015-07-18,193,201,0.5,,,
2015-07-19,196,203,3.45,,,
2015-07-20,369,398,5.78,,,
2015-07-21,359,424,9.43,,,
2015-07-22,345,387,7.24,,,
2015-07-23,398,454,7.49,,,
2015-07-24,344,374,5.35,,,
2015-07-25,181,186,1.61,,,
2015-07-26,194,210,3.33,,,
2015-07-27,353,392,5.61,,,
2015-07-28,306,351,6.84,,,
2015-07-29,377,420,8.81,,,
2015-07-30,399,454,6.17,,,
2015-07-31,346,370,5.41,,,
2015-08-01,201,211,1.9,,,
2015-08-02,209,225,1.78,,,
2015-08-03,433,479,5.22,,,
2015-08-04,605,665,4.51,,,
2015-08-05,525,583,3.77,,,
2015-08-06,436,467,4.07,,,
2015-08-07,494,527,2.66,,,
2015-08-08,276,292,2.4,,,
2015-08-09,299,306,2.29,,,
2015-08-10,500,549,5.46,,,
2015-08-11,450,488,4.71,,,
2015-08-12,438,486,4.53,,,
2015-08-13,412,442,5.43,,,
2015-08-14,401,428,5.61,,,
2015-08-15,235,241,1.66,,,
2015-08-16,257,264,4.17,,,
2015-08-17,417,458,3.93,,,
2015-08-18,341,396,6.06,,,
2015-08-19,375,432,5.09,,,
2015-08-20,526,591,4.06,,,
2015-08-21,422,476,4.41,,,
2015-08-22,190,203,3.45,,,
2015-08-23,183,189,4.76,,,
2015-08-24,335,383,8.09,,,
2015-08-25,329,365,4.93,,,
2015-08-26,373,405,4.69,,,
2015-08-27,381,423,5.67,,,
2015-08-28,252,290,8.62,,,
2015-08-29,112,123,7.32,,,
2015-08-30,106,117,5.98,,,
2015-08-31,294,335,8.06,,,
2015-09-01,279,314,5.1,,,
2015-09-02,346,391,8.7,,,
2015-09-03,294,360,7.5,,,
2015-09-04,261,358,5.03,,,
2015-09-05,106,123,3.25,,,
2015-09-06,118,139,5.04,,,
2015-09-07,178,201,3.48,,,
2015-09-08,279,323,5.57,,,
2015-09-09,302,374,5.08,,,
2015-09-10,353,420,8.57,,,
2015-09-11,272,322,6.52,,,
2015-09-12,105,118,5.93,,,
2015-09-13,121,133,9.77,,,
2015-09-14,305,358,6.98,,,
2015-09-15,306,366,6.83,,,
2015-09-16,356,442,7.47,,,
2015-09-17,359,466,5.58,,,
2015-09-18,301,376,6.38,,,
2015-09-19,92,106,2.83,,,
2015-09-20,120,144,6.25,,,
2015-09-21,317,384,4.17,,,
2015-09-22,340,415,5.54,,,
2015-09-23,346,430,2.56,,,
2015-09-24,338,411,5.35,,,
2015-09-25,251,282,4.61,,,
2015-09-26,114,124,5.65,,,
2015-09-27,148,162,6.17,,,
2015-09-28,334,393,5.85,,,
2015-09-29,409,493,4.06,,,
2015-09-30,312,376,7.98,,,
2015-10-01,306,385,5.19,,,
2015-10-02,292,382,3.66,,,
2015-10-03,118,131,5.34,,,
2015-10-04,128,145,5.52,,,
2015-10-05,348,434,5.07,,,
2015-10-06,358,465,9.68,,,
2015-10-07,342,422,8.77,,,
2015-10-08,412,520,4.81,,,
2015-10-09,303,398,3.52,,,
2015-10-10,133,153,6.54,,,
2015-10-11,232,254,2.76,,,
2015-10-12,471,519,3.66,,,
2015-10-13,326,434,4.38,,,
2015-10-14,348,479,6.47,,,
2015-10-15,338,457,5.03,,,
2015-10-16,254,305,6.23,,,
2015-10-17,105,115,3.48,,,
2015-10-18,126,150,10.67,,,
2015-10-19,379,492,4.47,,,
2015-10-20,385,473,6.34,,,
2015-10-21,294,389,2.83,,,
2015-10-22,307,377,5.04,,,
2015-10-23,299,382,8.12,,,
2015-10-24,115,137,8.03,,,
2015-10-25,143,178,11.24,,,
2015-10-26,346,473,7.19,,,
2015-10-27,457,552,8.15,,,
2015-10-28,329,420,5.0,,,
2015-10-29,380,480,7.08,,,
2015-10-30,284,358,11.73,,,
2015-10-31,102,117,8.55,,,
2015-11-01,143,166,13.25,,,
2015-11-02,400,475,6.74,,,
2015-11-03,405,501,8.38,,,
2015-11-04,345,439,10.71,,,
2015-11-05,382,485,6.39,,,
2015-11-06,276,331,7.86,,,
2015-11-07,116,127,1.57,,,
2015-11-08,173,199,6.53,,,
2015-11-09,429,513,8.19,,,
2015-11-10,400,488,5.12,,,
2015-11-11,349,385,5.19,,,
2015-11-12,361,454,7.27,,,
2015-11-13,294,361,6.65,,,
2015-11-14,127,149,5.37,,,
2015-11-15,133,143,7.69,,,
2015-11-16,346,429,7.23,,,
2015-11-17,342,411,6.57,,,
2015-11-18,322,399,6.77,,,
2015-11-19,353,447,4.03,,,
2015-11-20,266,356,5.34,,,
2015-11-21,95,107,3.74,,,
2015-11-22,137,159,7.55,,,
2015-11-23,317,406,7.64,,,
2015-11-24,348,420,3.57,,,
2015-11-25,276,318,7.55,,,
2015-11-26,124,137,2.92,,,
2015-11-27,148,170,9.41,,,
2015-11-28,92,103,4.85,,,
2015-11-29,137,156,7.69,,,
2015-11-30,304,365,8.77,,,
2015-12-01,312,386,5.44,,,
2015-12-02,318,385,4.68,,,
2015-12-03,324,382,3.93,,,
2015-12-04,293,352,6.53,,,
2015-12-05,112,127,6.3,,,
2015-12-06,117,129,1.55,,,
2015-12-07,306,370,5.68,,,
2015-12-08,288,349,5.44,,,
2015-12-09,312,384,5.73,,,
2015-12-10,272,337,4.15,,,
2015-12-11,246,282,4.26,,,
2015-12-12,102,121,0.83,,,
2015-12-13,100,106,6.6,,,
2015-12-14,304,359,3.06,,,
2015-12-15,311,354,5.65,,,
2015-12-16,267,322,6.52,,,
2015-12-17,263,311,4.82,,,
2015-12-18,216,261,7.66,,,
2015-12-19,85,97,9.28,,,
2015-12-20,94,107,3.74,,,
2015-12-21,290,342,4.39,,,
2015-12-22,241,275,4.36,,,
2015-12-23,221,249,3.21,,,
2015-12-24,142,154,1.95,,,
2015-12-25,54,60,1.67,,,
2015-12-26,53,55,0.0,,,
2015-12-27,95,104,2.88,,,
2015-12-28,237,256,4.69,,,
2015-12-29,202,226,3.1,,,
2015-12-30,223,253,1.19,,,
2015-12-31,151,172,1.74,,,
2016-01-01,68,74,1.35,,,
2016-01-02,108,114,1.75,,,
2016-01-03,110,135,5.93,,,
2016-01-04,301,345,6.96,,,
2016-01-05,354,393,5.09,,,
2016-01-06,339,375,3.73,,,
2016-01-07,321,366,7.1,,,
2016-01-08,272,304,7.24,,,
2016-01-09,102,120,0.83,,,
2016-01-10,133,147,0.68,,,
2016-01-11,361,414,4.83,,,
2016-01-12,375,446,2.02,,,
2016-01-13,349,397,2.52,,,
2016-01-14,316,363,4.13,,,
2016-01-15,269,296,5.07,,,
